 ,#genre#
日本新聞,https://n24-cdn-live.ntv.co.jp/ch01/index.m3u8
法國時尚,http://lb.streaming.sk/fashiontv/stream/chunklist.m3u8
半島新聞,http://live-hls-web-aje.getaj.net/AJE/01.m3u8
俄羅斯頻,https://rt-glb.rttv.com/dvr/rtnews/playlist_4500Kb.m3u8
韓國國防,http://mediaworks.dema.mil.kr:1935/live_edge/cudo.sdp/playlist.m3u8
韓國新聞,http://amdlive.ctnd.com.edgesuite.net:80/arirang_1ch/smil:arirang_1ch.smil/chunklist_b2256000_sleng.m3u8
日語新聞,https://n24-cdn-live.ntv.co.jp/ch01/index_high.m3u8
環球頻道,http://live.cgtn.com/500/prog_index.m3u8
BSテ東京,https://epg.pw/stream/7efb71faf5dbaf3a788c953dce022e0aee5c7ffb73d0d79774e0de39a72ff41d.m3u8
BSテ東京,https://epg.pw/stream/5a2f7754e3ca2a4166034033ac40a7eaf54aee18c27f42437ceaadfe0556236d.m3u8
AL Jazeera FHD,http://live-hls-web-aje.getaj.net/AJE/01.m3u8
CGTN記錄,https://livedoc.cgtn.com/500d/prog_index.m3u8
CGTN俄語,https://liveru.cgtn.com/1000r/prog_index.m3u8
CGTN法語,https://livefr.cgtn.com/1000f/prog_index.m3u8
CGTN西語,https://livees.cgtn.com/1000e/prog_index.m3u8
CGTN阿語,https://livear.cgtn.com/1000a/prog_index.m3u8
CGTN俄語,http://liveru.cgtn.com/1000r/prog_index.m3u8
CGTN,http://live.cgtn.com/1000/prog_index.m3u8
韓·EBS-2,http://ebsonairios.ebs.co.kr/ebs2tablet500k/tablet500k/ebs2tablet500k.index.m3u8
韓·EBS-2,http://ebsonairios.ebs.co.kr/plus2tablet500k/tablet500k/plus2tablet500k.index.m3u8
韓·JobPlusTV,http://live.worktv.or.kr:1935/live/wowtvlive1.sdp/playlist.m3u8
韓·EBS-1,http://ebsonairios.ebs.co.kr/groundwavetablet500k/tablet500k/groundwavetablet500k.m3u8
韓·EBS2,http://ebsonairios.ebs.co.kr/ebs2familypc/familypc1m/playlist.m3u8
韓·EBSe,http://ebsonairios.ebs.co.kr/plus3familypc/familypc1m/playlist.m3u8
韓·EBS1,http://ebsonairios.ebs.co.kr/groundwavefamilypc/familypc1m/playlist.m3u8
韓·KBSWorld,https://kbsworld-ott.akamaized.net/hls/live/2002341/kbsworld/01.m3u8
韓·TBS,https://cdntv.tbs.seoul.kr/tbs/_definst_/tbs_tv_web_720.smil/playlist.m3u8
韓·GSMyShop,https://gstv-myshop.gsshop.com/myshop_hd/myshop_hd.stream/playlist.m3u8
韓·KoreaTV,https://hlive.ktv.go.kr/live/klive_h.stream/playlist.m3u8
韓·SBS,http://1.245.74.5:1935/live/tv/.m3u8
